logFC	AveExpr	t	P.Value	adj.P.Val	B
TMEM231	0.602812596152787	7.60047583810956	7.97816850896788	4.41342080605512e-07	0.000205312335897684	6.65519673774749
EI24	-0.706380537167549	12.1352768746215	-7.93255941687359	4.76445750609709e-07	0.000212803876259009	6.58317597855955
PGM2	-0.615823557174753	8.6434566761846	-7.93089972319649	4.77776926730363e-07	0.000212803876259009	6.5805493931406
TTC25	0.541003451355799	8.22955022207277	7.88575213826283	5.15520495038331e-07	0.000224831375898592	6.50894400957356
PNKD	-0.956603496699257	9.60612416286251	-7.80658910750523	5.89416522375982e-07	0.000251813173049363	6.38266071061472
SLC31A2	-0.629718795117252	7.83472746657324	-7.74195732103899	6.57934142964747e-07	0.00027546386697648	6.27886785478134
HIF1AN	-0.603524947160262	7.80868728145199	-7.64456187405898	7.77323884068181e-07	0.00031906859194281	6.12128273374203
GGACT	0.635900716568195	7.44231247670148	7.58272680734589	8.64692118604609e-07	0.000348105092516709	6.02049727823523
SMARCE1	-0.526648510189972	9.53691999608399	-7.54768516461531	9.18700423044775e-07	0.000354387972464309	5.96312789478669
KCNS3	-0.763571718577743	8.1006841653663	-7.54290756756307	9.26332357466584e-07	0.000354387972464309	5.95529182588305
BTBD10	-0.442211939943649	9.42892267302856	-7.53642269588823	9.36797630961484e-07	0.000354387972464309	5.94465004576768
CD46	-0.619672728240014	10.3842785816475	-7.52955581355737	9.48014066017067e-07	0.000354387972464309	5.93337448464105
HOXA10	-0.924514142633024	8.5830610449761	-7.45883948610184	1.07202320705502e-06	0.000393714628359469	5.81684378391893
CHSY1	-0.531481938854974	9.80937071335466	-7.43314679466438	1.12117450950501e-06	0.000404666675551342	5.77431907840253
WASF3	0.638266393358188	10.5363271031074	7.34355845639812	1.31177563972825e-06	0.000460992093053031	5.62525877074567
RAB11FIP5	-0.413335630416405	8.22534421705146	-7.33068868620164	1.3418165828976e-06	0.000460992093053031	5.60374585534221
PGAM4	-0.74460506403055	11.4061724801257	-7.33006350518021	1.34329405160193e-06	0.000460992093053031	5.60270017339707
EGFR	-0.441038205606034	8.099432346049	-7.30521787846532	1.40340637873644e-06	0.000473853373104333	5.56109528806224
SSR2	-0.753180478868384	11.5099578429418	-7.26745965110345	1.50018803757719e-06	0.000498491053629222	5.49768868989559
GMFB	-0.871839449799131	10.4609718029716	-7.23666907765615	1.58425498732108e-06	0.000518199904759055	5.44582268742136
B3GLCT	-0.412076811891554	7.31104556253972	-7.22145610931281	1.62759005551293e-06	0.000524184157263194	5.42014369956683
AP3M1	-0.51681091296062	10.0743088635661	-7.14290918465981	1.87185696605382e-06	0.000593718995869253	5.28699990179707
FAM174A	-0.547463372771183	9.43330723532179	-7.08945848361126	2.05970269396081e-06	0.000628482414888187	5.19586024445958
BNIP2	-0.589204327596862	10.2985507529151	-7.0878771004758	2.06555065915946e-06	0.000628482414888187	5.19315718569766
STAU2	-0.584657984612937	8.04434306824429	-7.08626658221647	2.07152415340044e-06	0.000628482414888187	5.1904039353362
CPNE3	-0.600104326820247	12.1209528869137	-7.05090713127124	2.20731221460842e-06	0.000651612804809911	5.12985600953701
FBXO33	0.561847149807118	9.51494614395898	7.04280588563946	2.23970899669188e-06	0.000651612804809911	5.11595702200733
PIP4K2C	-0.464179280975801	8.77022841733718	-7.04244971389489	2.24114464251044e-06	0.000651612804809911	5.11534572305048
TMEM97	-0.653308989892983	12.0199880163574	-7.02493921898442	2.31292100920445e-06	0.000663269704201179	5.0852685921832
GBE1	-0.522033663339842	8.55124369509358	-7.00372429360581	2.40310264471319e-06	0.000679818253573322	5.04876599508654
DIRC2	-0.425470047708622	9.66496240708235	-6.98881059226942	2.46868575715146e-06	0.000689059568536114	5.02306434800399
ZNF35	-0.498686448508877	8.148453263777	-6.96299363646111	2.58665993881446e-06	0.000712488673146604	4.97849248222993
PHLPP2	-0.480297036235742	7.97568988930832	-6.88566464911705	2.97645921396766e-06	0.000809210353054531	4.84438046012999
FERMT2	-0.701488436681133	8.82634089576451	-6.84470933268908	3.20722549351881e-06	0.000857066432049364	4.7729829765594
ARHGAP19	-0.713730962650926	9.55058826902808	-6.8372194898215	3.25140378812983e-06	0.000857066432049364	4.75989832817103
ARID5B	0.602137542002525	9.85924575039816	6.83321075409605	3.27530880691455e-06	0.000857066432049364	4.75289161984991
ZBED4	-0.408870143856312	9.21213012600442	-6.79404795919312	3.51869866358509e-06	0.000909388121277657	4.68431203498382
JPT2	-0.61031438290855	8.76207615451053	-6.77016954312523	3.67626862013775e-06	0.00093852447919468	4.64238317897146
PDHX	-0.659174761244003	9.56121438915769	-6.76311874873757	3.72418660957538e-06	0.000939302680540374	4.62998590587086
PPTC7	-0.691126684159922	9.59530145052701	-6.74086327294247	3.87974581224999e-06	0.000963595274843704	4.59080501989869
GNA13	0.541466441696638	8.93435424820795	6.73628684344801	3.91256321590307e-06	0.000963595274843704	4.58273886987668
DFFB	0.442321867876771	9.62652505088075	6.66825495826591	4.43596510290704e-06	0.00107979643563088	4.46245511985583
MYNN	-0.530521283389621	9.12010202588522	-6.63935195604631	4.67990121559793e-06	0.00112608105801525	4.41114085521538
SLC30A7	-0.456783660293462	9.56993622337613	-6.56587480204435	5.36490977603149e-06	0.00126516130381209	4.28012077122416
ARHGAP32	-0.457958127765249	8.77221933138277	-6.56448988515539	5.37877883057589e-06	0.00126516130381209	4.27764343688923
OAS3	-0.584803948289542	8.31118937686023	-6.5101293309868	5.95367746102948e-06	0.00138482537743546	4.18017493093687
VPS4A	-0.595609230063654	8.2738298845292	-6.4797001495953	6.30301606448767e-06	0.00144997075048335	4.12542106394566
ICMT	0.640314437118372	9.7946369813678	6.41793446495625	7.07916130363636e-06	0.00161081698619917	4.013852874289
LRP11	-0.450922594348144	8.67672342350239	-6.40490739370501	7.25517071713569e-06	0.00163311552465074	3.99024884109432
MYD88	-0.541889637135451	8.2854931257098	-6.35519358418664	7.96971511694948e-06	0.00177487251338532	3.89993802633309
OSCP1	0.516395464744898	8.78796995548991	6.34727924049049	8.09004242613297e-06	0.0017827047173544	3.8855266578999
ADO	-0.423489364820004	9.40236482660947	-6.28520967988225	9.10163068914935e-06	0.00198125772696176	3.77217963189391
RP2	0.60643512059296	8.19299640049944	6.28068213826395	9.18037639797894e-06	0.00198125772696176	3.76388934622782
MAP4K2	0.396038254859752	10.6170196129217	6.26005368015633	9.54820775854338e-06	0.00203961409405456	3.72607853261537
FAM219B	0.566628415609161	9.33909509822767	6.24504608620475	9.82539663933448e-06	0.00207762478028109	3.6985308357784
LRPPRC	-0.527951538788386	9.4288533135431	-6.23756170891355	9.96673892877384e-06	0.00207852940523302	3.68478018017187
ATP2B4	-0.565547234445805	8.06943795924995	-6.23433866990158	1.00282540330818e-05	0.00207852940523302	3.6788561077174
RAB36	0.896708556581103	7.81087469438297	6.22101774472092	1.02867050044147e-05	0.00211119492708253	3.65435544341278
NCOA1	-0.496496856566354	9.74352016797957	-6.20578740967626	1.05906854510351e-05	0.00215247970128125	3.62631078306303
SEC22B	-0.494686661119196	10.1624981946497	-6.17728937893063	1.11847534612371e-05	0.0022513618168994	3.57374359847698
NFYC	-0.481673604893041	9.17076188964813	-6.1697034442188	1.13486399226263e-05	0.00226259455371676	3.55973052575235
DNAAF3	0.579917541169899	8.14031066276688	6.15566117532405	1.16586112481595e-05	0.00230246573461293	3.53376872718838
PTER	-0.557182337849619	7.43784842425547	-6.11925337037078	1.25038388871181e-05	0.00244631180619561	3.46632220105291
APOO	-0.404111619476279	10.9922961460838	-6.10553072870003	1.28386811017476e-05	0.00248856435355541	3.44085030587087
C9orf116	0.738128904327084	9.98098997787372	6.09340821286663	1.31422079093527e-05	0.00252402734288432	3.41832569945627
ISCU	0.435121688987785	11.1072159953851	6.08444342681864	1.3371446724213e-05	0.00254470787022432	3.40165463517477
MAATS1	0.660283350222007	8.06826159002783	6.06253252479499	1.39493363149861e-05	0.00263076942718846	3.36085955278774
MAGEA12	0.576433163586904	9.27991531370838	6.02810646076812	1.49101080891797e-05	0.00278685895302579	3.29662225918256
WDR60	0.516305384643862	8.07500429950103	5.99547389263612	1.58841738285015e-05	0.00294264862766239	3.23557336609864
FBXO15	0.743149485189785	8.19601062687531	5.9868766018016	1.61516068926484e-05	0.00295828831904716	3.21946404704281
KIF23	-0.566874424754214	8.74307140567457	-5.98029291898934	1.63595526909092e-05	0.00295828831904716	3.2071205746114
PMM1	0.351160445983654	10.0080908379736	5.97547842534359	1.65133718236191e-05	0.00295828831904716	3.19809013954901
SLC25A44	0.344477470473764	9.89962131216788	5.97484079424687	1.65338556094639e-05	0.00295828831904716	3.19689389999087
IQCK	0.871370212254899	9.32901736330715	5.96252885601508	1.69345741807625e-05	0.00300430827033968	3.17378442552597
LRRC56	0.578212449910006	8.07265393099194	5.92200081466138	1.83261399108873e-05	0.00322386061255896	3.09756018241386
TMPO	-0.521006585947502	9.01490875443538	-5.9053249865045	1.89326045091889e-05	0.00330279285662801	3.06612863292287
OTUD6B	-0.386426590757514	8.79485761782875	-5.87053489927437	2.02656343560048e-05	0.00348844115244237	3.00042721555114
ZNF823	-0.411448646295321	8.77206355797447	-5.86522961449135	2.04772901287369e-05	0.00348844115244237	2.99039308095647
RMDN3	-0.377315861778586	11.2995593563991	-5.8614885347267	2.06279152070729e-05	0.00348844115244237	2.98331501161708
G3BP1	-0.484779934146033	9.33307256424582	-5.86061238715513	2.06633564012064e-05	0.00348844115244237	2.98165706751913
GUCD1	-0.361703176653267	11.0699886232728	-5.85648094562425	2.08313287565895e-05	0.00348866428952355	2.9738376342533
SNAPC4	0.376023090737165	10.7061353865127	5.8397463007967	2.15262885084751e-05	0.00357643907647951	2.942139966895
PSIP1	-0.547452677020507	8.26547152583925	-5.83231685312621	2.18424641285066e-05	0.00360039483516658	2.92805496818189
THOC5	-0.358220568339021	9.69266398983556	-5.81375411709562	2.26536041899358e-05	0.0037049261727509	2.89282925378067
CDK20	0.538487112935995	9.53189626518385	5.8085842604938	2.28850125945874e-05	0.00370708557368823	2.88301004444644
SHOC2	-0.406457337654906	8.95555284234847	-5.80557185855655	2.30209766207829e-05	0.00370708557368823	2.87728680734152
NOL12	0.407902380100667	11.1398737639101	5.79488555690052	2.35100741382794e-05	0.00375694574054	2.85697376855019
PANK1	-0.398280664979702	8.05106675834732	-5.78461040283613	2.39904887327026e-05	0.00380467341765451	2.83742723783095
DICER1	0.653165235485625	9.63993057508482	5.76704013816361	2.48356358128447e-05	0.00390909173012098	2.80396910257897
SLC7A9	0.34421677981478	7.15452398023568	5.74875165391307	2.57480699226236e-05	0.00402246340119554	2.76909780142883
KCNG3	-0.33373921904712	6.67908165671733	-5.73332638761275	2.65445640861244e-05	0.00411617707095502	2.739649938036
LARS2	-0.515855764763719	8.88305968352139	-5.71554250460786	2.74945273389769e-05	0.00423213555378046	2.70565861574898
CCDC103	0.577736767486385	7.5178076367345	5.70990216713628	2.78030999592206e-05	0.00423383975273238	2.69486884393197
SUOX	-0.412654679163294	10.0634221802001	-5.70796155029671	2.79100929529506e-05	0.00423383975273238	2.69115550105031
MORN4	0.43750993039816	7.76353508137621	5.6923791617993	2.87847744944419e-05	0.00430579754910598	2.66132011382856
AP5M1	-0.402480899754854	9.20821382939691	-5.69218556149763	2.87958181367554e-05	0.00430579754910598	2.66094922097114
ATP1B1	-0.512228071679569	11.1903646370082	-5.65884913032869	3.07642475514842e-05	0.0045675089237076	2.59700820114219
MZF1	0.37907380742695	10.3087067956128	5.65010958966413	3.13029337472508e-05	0.00459174988685713	2.58022030567007
BBOF1	0.806240849660761	7.97741895228916	5.64616224029905	3.15494236161734e-05	0.00459174988685713	2.57263439868795
SFXN4	0.319930258485901	11.4854173194721	5.64303810387824	3.17459286618635e-05	0.00459174988685713	2.56662902453155
BZW2	-0.508218753969517	11.3137301675575	-5.64210447422778	3.18048979456522e-05	0.00459174988685713	2.56483409783736
ATAD1	-0.517142670747244	8.96776338273642	-5.63492592641829	3.22620990720497e-05	0.00462585467105677	2.55102922231703
EFS	-0.732416788031449	8.89181135168911	-5.62628049900969	3.28217457164163e-05	0.00467408452263578	2.53439419644316
CAPZA2	-0.346388461062798	11.1930270113918	-5.62048944413469	3.32022161460678e-05	0.00469631887028232	2.52324575428991
NUDT16P1	-0.382327367424573	9.0151341046032	-5.58587839508528	3.55730627553858e-05	0.00499789594443789	2.45652167224936
SCML1	-0.769063627389126	8.95862875340243	-5.57199677866035	3.65724215830883e-05	0.00510404715613581	2.42971534314171
PDCL	-0.431624140184471	8.24332705513879	-5.55788345241954	3.76181899089857e-05	0.00516239770362908	2.40243529705642
KIAA0556	0.463983749339098	9.66071572004954	5.55754528514745	3.76436225164234e-05	0.00516239770362908	2.40178131984185
TRAF4	-0.565667503324992	9.0020950187887	-5.55639406296403	3.7730335753093e-05	0.00516239770362908	2.39955487290544
ARL8B	0.486716007919656	9.78986513111897	5.54545250547174	3.8564842761955e-05	0.00524231440505693	2.37838530436285
BCL2L2	-0.407448154280917	9.93699027136829	-5.54078793374388	3.89263741725245e-05	0.00525732075437179	2.36935554761181
LRRC73	0.4444258044048	7.39002494082997	5.52355992621562	4.02922252354387e-05	0.00540690668640175	2.33598042793559
CASD1	-0.297972547144345	7.92964725703948	-5.50508719262041	4.1811780255899e-05	0.00557508157883434	2.30015065148324
CTXN1	0.557013774511503	12.8686643214242	5.49717456615515	4.24806301318316e-05	0.00561486287114686	2.284789640626
LUZP1	-0.425083726386601	8.66495904910976	-5.49385705853301	4.27643303789737e-05	0.00561486287114686	2.27834683712016
ERLIN1	0.319038500407905	7.35176829800333	5.48573879978392	4.34668408841404e-05	0.00561486287114686	2.26257463589426
CDCA4	-0.506292659539936	9.81677775035807	-5.48265317192833	4.37369654668207e-05	0.00561486287114686	2.25657761210385
CCNE1	-0.412550229788778	9.31906255376138	-5.48136225649195	4.38504887610568e-05	0.00561486287114686	2.25406830668599
EIF4EBP1	-0.640067036370368	8.34100228018919	-5.48096529500325	4.38854586462506e-05	0.00561486287114686	2.25329664207428
ADAR	-0.338511083309283	11.4747453835339	-5.4757656905783	4.43461757825822e-05	0.00561486287114686	2.2431870969826
NUDT21	-0.473218865690427	9.9435747534567	-5.46866529579732	4.49833812940499e-05	0.00561486287114686	2.22937620342766
ARPC4	0.573858586190051	10.8450247681427	5.46862142794424	4.49873472954882e-05	0.00561486287114686	2.22929085630587
CAPN13	0.379584819355319	9.33908499905506	5.46853452089496	4.49952054455897e-05	0.00561486287114686	2.22912177352103
CARD9	0.413222448020693	7.91615296023148	5.46621839850086	4.52051517637588e-05	0.00561486287114686	2.22461526109095
OSBPL9	0.309168735687063	8.90211349133215	5.46397020560289	4.54099064127519e-05	0.00561486287114686	2.2202402568979
STK38	-0.544945544405827	9.088012960191	-5.46192552115385	4.55969565345833e-05	0.00561486287114686	2.21626071513522
SCRN1	-0.342466206038296	7.9774200533193	-5.45616388607134	4.61283212990226e-05	0.00561641267597413	2.20504402049649
ACTA2	0.780974073225764	7.92766085691271	5.45597202551308	4.61461249769538e-05	0.00561641267597413	2.20467043460262
ENKD1	0.449571588388636	10.5136047639591	5.44544222858901	4.71341767775518e-05	0.00570350784197266	2.18415982076015
APMAP	-0.435243653587298	10.5744789603473	-5.44136305550288	4.75227773214044e-05	0.00571748172670276	2.17621031556387
KRR1	-0.326618181674632	7.84565283050036	-5.4360549070011	4.80334046958001e-05	0.00574589310801074	2.16586258288626
CFAP69	0.53115650277779	8.32791022747995	5.41888994954764	4.97236626231056e-05	0.00591429064404598	2.13237644586062
RAB8B	0.513580116485292	8.56298001805694	5.40253843708111	5.13908395737771e-05	0.00607805556857316	2.10044228967102
C4orf46	-0.37052268001742	7.79939307375715	-5.3841749286648	5.33319706563544e-05	0.00627219929056249	2.06453834490753
DEPDC1	-0.573686852912692	8.86243144824834	-5.37480038983669	5.4351875229283e-05	0.00635037673741429	2.04619304080456
SAP18	-0.461598700501561	7.68510920408403	-5.37251622201629	5.46034113277239e-05	0.00635037673741429	2.04172141278288
LZTFL1	0.425696774034218	7.67937546129049	5.33791549094868	5.85637673915691e-05	0.00676418271662891	1.97390504659653
TAF4	-0.328050824245249	9.70788986926483	-5.33586338754888	5.88077412069581e-05	0.00676418271662891	1.96987830252675
RTCA	0.491495421322215	10.4800057031145	5.33193177055931	5.92780965205093e-05	0.00678102553311662	1.96216202061182
EPHA3	-0.47010879549524	8.17459545236981	-5.32895869043251	5.96363484151833e-05	0.00678493107458395	1.95632571385494
TTC12	0.464720709835323	9.01516209927338	5.32105383955748	6.05997519859287e-05	0.00685727139499152	1.94080277536578
CFAP300	0.516316449796679	8.10554597425746	5.28250501557709	6.55326461066074e-05	0.00734546944576597	1.86499349498905
CASP7	-0.478374513274751	8.75990254214396	-5.281877905584	6.56162245481729e-05	0.00734546944576597	1.86375873267193
DCUN1D4	-0.359588922272255	8.79809916473067	-5.27925663480096	6.59667648707367e-05	0.00734546944576597	1.85859700493718
DHODH	-0.549291138670979	7.57343064621857	-5.27098519378803	6.70855823714965e-05	0.00743052688552861	1.84230366150862
PLGRKT	-0.292988812352466	10.8263240187321	-5.2672967498644	6.75907668064412e-05	0.00744707953855811	1.83503537588644
RBBP4	-0.509538215146101	11.2922249400899	-5.26060094729134	6.85178753034629e-05	0.00747087217279343	1.8218367176755
ZBTB9	0.388365427063526	9.0484108251374	5.26058235999571	6.85204670476899e-05	0.00747087217279343	1.82180007116238
SPOPL	0.317024924500315	7.0643435110507	5.24805720259403	7.02900633495439e-05	0.00762410459149923	1.79709614221981
PPIL6	0.389702015506664	7.23751966146272	5.23995055993139	7.14603910344755e-05	0.00771109188616346	1.78109700125914
TPM2	0.362512679188329	8.60441824198364	5.23093394296045	7.27856538952361e-05	0.00781381989047627	1.76329271147042
TMEM99	-0.372243838565364	11.322012823251	-5.22516943626116	7.3646140730634e-05	0.00786585872477088	1.75190498399533
DNAL4	0.47244316462295	11.0065822403944	5.22192984108377	7.41343098476278e-05	0.00787780529111797	1.74550345908074
CHMP4B	-0.301745549112374	9.13310300223478	-5.21932207106974	7.45296866187101e-05	0.00787982050341453	1.74034953124066
TMED5	-0.456747049437872	10.1101406536479	-5.21170620055867	7.56968235133496e-05	0.0079563798383912	1.7252931080258
SYNGR2	0.316965677512584	13.744089005782	5.2096577375948	7.60139470563791e-05	0.0079563798383912	1.72124216571979
PJA1	0.481937264950284	9.08838918916143	5.20246638715406	7.71380982431293e-05	0.00803387536627696	1.70701697032015
PLPP6	-0.442068345437955	9.79894571681418	-5.19248574663281	7.87266567632274e-05	0.00815873184495743	1.68726418919566
WASF2	-0.33661685650752	8.63566244664484	-5.18291818601817	8.02810423973852e-05	0.00824281000836199	1.66831796150925
RBSN	0.42269728095304	10.0202595125451	5.18264757430335	8.03254629648346e-05	0.00824281000836199	1.66778192498373
GTF2F1	-0.408749761225312	10.3153816100489	-5.17941056691295	8.08587759978535e-05	0.00825706154506861	1.66136929171194
OR7E14P	-0.386115672310201	8.5874347757038	-5.17675086591667	8.12996975862604e-05	0.0082617857731591	1.65609940872519
YPEL2	0.390343851470966	8.54300253540875	5.14858213395838	8.61239622406527e-05	0.00870975374659818	1.60023596353901
ZCCHC24	-0.418829972456184	8.50398354806766	-5.12398808573587	9.05762537976977e-05	0.00911541317987623	1.55138698551047
PTK2	-0.432709275588383	10.8310082113643	-5.12167979405151	9.1006083624445e-05	0.00911541317987623	1.54679868318872
ELK1	-0.313056991639598	10.4123914476255	-5.10883940199272	9.3435641861953e-05	0.00931419869875297	1.52126417625608
ERLIN2	0.416682243321649	8.91731132919649	5.10505843969579	9.41636654472077e-05	0.00934225043817388	1.51374176721007
RELL1	0.360524515672456	7.64490017984847	5.10208883061978	9.47395454234943e-05	0.00934225043817388	1.50783245390014
ZMYND10	0.458305411319268	6.79977830168053	5.10046559171783	9.50558585712734e-05	0.00934225043817388	1.50460190250204
STX10	-0.359324726433403	9.62330565703277	-5.08688989066237	9.77441204393692e-05	0.0095615673704568	1.47757210582306
SNRPC	0.599364160841965	11.0493387680139	5.08263689028814	9.86022596025787e-05	0.00960064977916457	1.46909995506864
SPECC1L	0.324119393827152	12.0878967771613	5.07479253605625	0.000100205380143677	0.00971157142559132	1.45346838827449
TTC21A	0.506552408106091	7.55054411779982	5.06965247465284	0.000101270321164918	0.00976955254961473	1.44322199652665
CASP2	-0.272372375363066	11.1670262202898	-5.06450825587582	0.000102347757071455	0.00982820158960479	1.4329643842914
TTC29	0.716187085080783	8.20398434910464	5.06024956556734	0.000103248620562974	0.00983336963448508	1.42447030812664
GHR	-0.492789852922495	9.10138397536281	-5.05981482838326	0.0001033410394376	0.00983336963448508	1.42360310007907
RGL1	-0.274807430249285	7.68340021820975	-5.05107585656265	0.000105216933193372	0.00996656687543009	1.40616629738483
ZNF302	-0.459320181435084	9.61968958073459	-5.04728616141803	0.00010604125149263	0.00999940341777803	1.39860213850766
CAP2	-0.444177559098005	9.69640690252159	-5.04265080041039	0.000107058532388594	0.0100500597175911	1.38934790675135
ARHGAP39	0.374229438156041	9.34947531425453	5.02544328284638	0.000110923310456071	0.0103663775941401	1.35497358339321
FAM160B1	-0.301030041013439	9.54688058550668	-5.0190235332875	0.000112401581016707	0.0104578430977944	1.34214103999398
ACBD5	0.331713677441517	7.64170017631932	5.01149682480521	0.000114160514480237	0.0105744965049968	1.32709011242296
CUX1	-0.505148708329523	9.35569199237027	-5.00419857531336	0.000115893023600842	0.0106588863040389	1.3124902101242
UGT8	-0.431121250373095	8.00291659805145	-5.00337629441469	0.000116089905289046	0.0106588863040389	1.310844906909
CADM4	-0.360448436601927	6.8253221743513	-4.99071661889344	0.000119164722421114	0.0108934248871773	1.28550502650137
TMEM9	-0.260018589722119	10.3637535692672	-4.98462267530505	0.000120674489083539	0.0109834771933687	1.27330117655242
RABL2A	0.451974888908551	7.98543376564879	4.97007729866036	0.000124357870086665	0.0112697300969448	1.24415645050618
PFDN1	-0.399442331842694	10.447796736432	-4.96752447011343	0.00012501612771162	0.011280550075496	1.23903902338035
STAG3L4	0.378757612136408	8.58555731697218	4.95992197072461	0.000126997701263086	0.0114101711512508	1.22379492860373
DSTYK	0.552367030918838	8.65333275782886	4.95531705100244	0.000128213590761953	0.0114701850812424	1.21455847235773
PIM2	-0.387835012387164	8.66870219040857	-4.9414453944882	0.000131948888315606	0.0117541192680804	1.18672166372079
